Iteration,Latency_ns,MinorFaults,MajorFaults
492,3841,1,0
493,3772,1,0
494,3283,1,0
495,3771,1,0
496,3772,1,0
497,9149,1,0
498,2794,1,0
499,3422,1,0
500,3772,1,0
501,3352,1,0
502,3771,1,0
503,3352,1,0
504,3352,1,0
505,3352,1,0
506,3283,1,0
507,4819,1,0
508,4330,1,0
509,4400,1,0
510,4260,1,0
511,5238,1,0
512,4260,1,0
513,9568,1,0
514,4749,1,0
515,6216,1,0
516,6566,1,0
517,4749,1,0
518,5727,1,0
519,4820,1,0
520,3911,1,0
521,5238,1,0
522,3842,1,0
523,4610,1,0
524,4260,1,0
525,3771,1,0
526,22908,1,0
527,5169,1,0
528,9988,1,0
529,6635,1,0
530,5657,1,0
531,4261,1,0
532,4330,1,0
533,4819,1,0
534,5797,1,0
535,3771,1,0
536,4400,1,0
537,3772,1,0
538,4330,1,0
539,3841,1,0
540,4191,1,0
541,4330,1,0
542,3771,1,0
543,3841,1,0
544,4750,1,0
545,5308,1,0
546,3771,1,0
547,5796,1,0
548,3352,1,0
549,3422,1,0
550,5657,1,0
551,5238,1,0
552,5657,1,0
553,3772,1,0
554,3841,1,0
555,5169,1,0
556,5308,1,0
557,4330,1,0
558,3771,1,0
559,8172,1,0
560,3841,1,0
561,3772,1,0
562,3841,1,0
563,3771,1,0
564,3772,1,0
565,3352,1,0
566,3772,1,0
567,3841,1,0
568,3282,1,0
569,3422,1,0
570,3283,1,0
571,3352,1,0
572,3353,1,0
573,3282,1,0
574,3841,1,0
575,2794,1,0
576,3841,1,0
577,3842,1,0
578,3282,1,0
579,3352,1,0
580,3772,1,0
581,3353,1,0
582,2864,1,0
583,3353,1,0
584,3283,1,0
585,3282,1,0
586,3842,1,0
587,3771,1,0
588,2374,1,0
589,3352,1,0
590,7683,1,0
591,3772,1,0
592,4680,1,0
593,3771,1,0
594,3772,1,0
595,3353,1,0
596,4749,1,0
597,5797,1,0
598,3842,1,0
599,3352,1,0
600,2863,1,0
601,3283,1,0
602,3353,1,0
603,3702,1,0
604,3772,1,0
605,3841,1,0
606,3353,1,0
607,3282,1,0
608,3422,1,0
609,3352,1,0
610,3283,1,0
611,2864,1,0
612,3423,1,0
613,3283,1,0
614,3353,1,0
615,2863,1,0
616,3352,1,0
617,4260,1,0
618,3353,1,0
619,3282,1,0
620,3282,1,0
621,10825,1,0
622,2444,1,0
623,3772,1,0
624,3422,1,0
625,3842,1,0
626,3841,1,0
627,4260,1,0
628,3911,1,0
629,4330,1,0
630,3842,1,0
631,3283,1,0
632,3353,1,0
633,3772,1,0
634,4400,1,0
635,4680,1,0
636,3772,1,0
637,4260,1,0
638,3841,1,0
639,3841,1,0
640,3353,1,0
641,4261,1,0
642,3841,1,0
643,3772,1,0
644,4260,1,0
645,4190,1,0
646,3282,1,0
647,3841,1,0
648,4191,1,0
649,3353,1,0
650,4260,1,0
651,32407,1,0
652,2794,1,0
653,3912,1,0
654,3771,1,0
655,2863,1,0
656,3701,1,0
657,3842,1,0
658,3771,1,0
659,2863,1,0
660,3771,1,0
661,4330,1,0
662,3771,1,0
663,3772,1,0
664,3771,1,0
665,3282,1,0
666,3841,1,0
667,3771,1,0
668,3422,1,0
669,2793,1,0
670,3282,1,0
671,3352,1,0
672,3283,1,0
673,3422,1,0
674,3352,1,0
675,3842,1,0
676,3352,1,0
677,3701,1,0
678,3841,1,0
679,3352,1,0
680,3283,1,0
681,3841,1,0
682,9918,1,0
683,3841,1,0
684,3352,1,0
685,3422,1,0
686,3352,1,0
687,3352,1,0
688,3352,1,0
689,3353,1,0
690,3772,1,0
691,2864,1,0
692,3353,1,0
693,3772,1,0
694,3352,1,0
695,3213,1,0
696,2864,1,0
697,3352,1,0
698,3282,1,0
699,3771,1,0
700,3771,1,0
701,3842,1,0
702,4191,1,0
703,3353,1,0
704,4330,1,0
705,3842,1,0
706,3771,1,0
707,3352,1,0
708,4679,1,0
709,3841,1,0
710,3772,1,0
711,3912,1,0
712,3772,1,0
713,9988,1,0
714,3702,1,0
715,4330,1,0
716,3772,1,0
717,4261,1,0
718,3352,1,0
719,4261,1,0
720,3771,1,0
721,3771,1,0
722,3912,1,0
723,3283,1,0
724,4330,1,0
725,3911,1,0
726,2934,1,0
727,4819,1,0
728,3702,1,0
729,4330,1,0
730,3702,1,0
731,3841,1,0
732,4191,1,0
733,4330,1,0
734,3282,1,0
735,3841,1,0
736,3771,1,0
737,3352,1,0
738,3701,1,0
739,3841,1,0
740,3353,1,0
741,3422,1,0
742,3422,1,0
743,4680,1,0
744,8172,1,0
745,3771,1,0
746,3911,1,0
747,4190,1,0
748,3772,1,0
749,4331,1,0
750,3772,1,0
751,2863,1,0
752,4260,1,0
753,3422,1,0
754,3771,1,0
755,4260,1,0
756,3841,1,0
757,3841,1,0
758,3283,1,0
759,3772,1,0
760,3283,1,0
761,3353,1,0
762,3772,1,0
763,4260,1,0
764,3772,1,0
765,3842,1,0
766,4330,1,0
767,3841,1,0
768,4261,1,0
769,3841,1,0
770,3352,1,0
771,3772,1,0
772,4260,1,0
773,4260,1,0
774,3771,1,0
775,10127,1,0
776,4191,1,0
777,3841,1,0
778,4191,1,0
779,3911,1,0
780,4190,1,0
781,4330,1,0
782,3702,1,0
783,3352,1,0
784,3352,1,0
785,3842,1,0
786,3353,1,0
787,4261,1,0
788,3771,1,0
789,3841,1,0
790,4190,1,0
791,4749,1,0
792,3352,1,0
793,2863,1,0
794,3911,1,0
795,3283,1,0
796,3352,1,0
797,4261,1,0
798,4191,1,0
799,2934,1,0
800,3772,1,0
801,3841,1,0
802,3283,1,0
803,4191,1,0
804,3841,1,0
805,3842,1,0
806,9010,1,0
807,4260,1,0
808,3283,1,0
809,3771,1,0
810,3841,1,0
811,4261,1,0
812,3353,1,0
813,3772,1,0
814,4260,1,0
815,3353,1,0
816,3352,1,0
817,3771,1,0
818,3282,1,0
819,3772,1,0
820,3841,1,0
821,3352,1,0
822,3911,1,0
823,3772,1,0
824,3422,1,0
825,4260,1,0
826,3841,1,0
827,3352,1,0
828,3841,1,0
829,3632,1,0
830,3772,1,0
831,3772,1,0
832,3842,1,0
833,4260,1,0
834,3771,1,0
835,3842,1,0
836,3842,1,0
837,9499,1,0
838,2864,1,0
839,3911,1,0
840,3423,1,0
841,3771,1,0
842,3422,1,0
843,3772,1,0
844,3911,1,0
845,3702,1,0
846,2794,1,0
847,4680,1,0
848,3842,1,0
849,4260,1,0
850,3912,1,0
851,3911,1,0
852,3353,1,0
853,3353,1,0
854,4819,1,0
855,3911,1,0
856,3841,1,0
857,3423,1,0
858,3772,1,0
859,3422,1,0
860,4680,1,0
861,3912,1,0
862,3213,1,0
863,3842,1,0
864,3911,1,0
865,3772,1,0
866,2864,1,0
867,3772,1,0
868,9499,1,0
869,3911,1,0
870,3771,1,0
871,3841,1,0
872,3702,1,0
873,3771,1,0
874,3283,1,0
875,3911,1,0
876,4330,1,0
877,2933,1,0
878,3422,1,0
879,3771,1,0
880,3841,1,0
881,4679,1,0
882,3841,1,0
883,3283,1,0
884,3353,1,0
885,3772,1,0
886,3352,1,0
887,3283,1,0
888,3842,1,0
889,3771,1,0
890,3352,1,0
891,4679,1,0
892,3841,1,0
893,4190,1,0
894,2375,1,0
895,3772,1,0
896,2375,1,0
897,3353,1,0
898,3772,1,0
899,7264,1,0
900,2793,1,0
901,2864,1,0
902,3283,1,0
903,48680,1,0
904,2933,1,0
905,2864,1,0
906,3353,1,0
907,3772,1,0
908,2864,1,0
909,2933,1,0
910,2794,1,0
911,2793,1,0
912,3771,1,0
913,3352,1,0
914,2375,1,0
915,2863,1,0
916,3283,1,0
917,2863,1,0
918,3841,1,0
919,2793,1,0
920,3353,1,0
921,2863,1,0
922,3423,1,0
923,2864,1,0
924,2444,1,0
925,2863,1,0
926,3352,1,0
927,3772,1,0
928,3771,1,0
929,2863,1,0
930,7892,1,0
931,2374,1,0
932,3422,1,0
933,3283,1,0
934,3841,1,0
935,3772,1,0
936,3423,1,0
937,3772,1,0
938,3841,1,0
939,3772,1,0
940,3283,1,0
941,2934,1,0
942,3282,1,0
943,3353,1,0
944,2794,1,0
945,3352,1,0
946,2934,1,0
947,2794,1,0
948,2933,1,0
949,3283,1,0
950,3283,1,0
951,3422,1,0
952,3283,1,0
953,3353,1,0
954,2794,1,0
955,3352,1,0
956,3841,1,0
957,3283,1,0
958,2934,1,0
959,2375,1,0
960,8102,1,0
961,2794,1,0
962,2375,1,0
963,2864,1,0
964,2793,1,0
965,3352,1,0
966,3283,1,0
967,2863,1,0
968,2864,1,0
969,2375,1,0
970,2863,1,0
971,3353,1,0
972,3283,1,0
973,3422,1,0
974,3771,1,0
975,3283,1,0
976,3423,1,0
977,2864,1,0
978,1885,1,0
979,3283,1,0
980,3353,1,0
981,3353,1,0
982,2864,1,0
983,3352,1,0
984,2794,1,0
985,3423,1,0
986,3353,1,0
987,3283,1,0
988,2374,1,0
989,3841,1,0
990,3352,1,0
991,8870,1,0
992,3772,1,0
993,3353,1,0
994,3283,1,0
995,3422,1,0
996,3282,1,0
997,3353,1,0
998,3422,1,0
999,2864,1,0
